"Day","Month","Hour","Mean_Temperature","Min_Temperature","Max_Temperature","SD_Temperature","Mean_Pressure","Min_Pressure","Max_Pressure","SD_Pressure","Mean_Humidity","Min_Humidity","Max_Humidity","SD_Humidity","Mean_WindDirection","Min_WindDirection","Max_WindDirection","SD_WindDirection","Mean_Speed","Min_Speed","Max_Speed","SD_Speed","Mean_Radiation","SunDurationMinutes"
10,10,8,58.75,56,61,1.48477117918737,30.4333333333333,30.42,30.44,0.00778498944161534,52.0833333333333,47,59,4.07784108061948,169.241666666667,0.11,358.32,154.716742634775,2.2475,1.12,3.37,0.830871667150064,528.539166666667,707
11,10,6,50,49,51,0.426401432711221,30.43,30.43,30.43,0,101.333333333333,100,102,0.65133894727893,146.8825,98.59,184.13,24.2122572733879,4.8725,2.25,7.87,1.93869274137356,11.9016666666667,707
4,11,8,59.0833333333333,55,62,2.10878393795327,30.4675,30.46,30.47,0.00452267016866555,25.6666666666667,20,31,3.62650177878285,110.4225,3.18,179.16,51.4329811281368,4.59,1.12,7.87,2.16967530038273,480.533333333333,682
12,11,6,44.75,44,46,0.753778361444409,30.4666666666667,30.46,30.47,0.00492365963917233,74.6666666666667,72,77,1.96946385566932,175.605,155.15,195.36,10.1019543563699,5.43583333333333,4.5,7.87,1.15741450368195,6.88416666666667,674
4,12,12,45,45,45,0,30.3633333333333,30.36,30.37,0.00492365963917408,93,93,93,0,144.215,64.32,176.98,29.8807558928363,7.215,3.37,13.5,3.23566629361502,195.318333333333,660
20,12,15,56.75,56,58,0.621581560508061,30.48,30.48,30.48,0,59.9166666666667,58,62,1.08362466945083,57.035,10.57,97.03,31.2535416174929,4.8725,0,9,2.4612233654314,465.071666666667,656
25,9,11,64.0833333333333,64,65,0.288675134594813,30.4866666666667,30.48,30.49,0.00492365963917233,36.75,26,46,6.85068012549252,77.7333333333333,0.11,359.92,132.599372021914,6.09166666666667,3.37,7.87,1.39515938049016,1020.88666666667,724
28,12,9,49,48,50,0.603022689155527,30.4216666666667,30.42,30.43,0.00389249472080684,95.5,94,97,0.904534033733291,115.8125,47.69,155.28,41.2164166597817,7.02916666666667,3.37,11.25,2.71894517759882,391.49,656
27,10,12,63.25,62,64,0.621581560508061,30.4058333333333,30.4,30.42,0.00668557923421626,39.3333333333333,28,54,8.49955435551913,132.070833333333,7.12,359.93,137.44060234141,4.59083333333333,1.12,7.87,2.22157380060064,905.969166666667,689
27,11,15,54.1666666666667,53,56,1.02985730108887,30.43,30.43,30.43,0,84.1666666666667,77,90,4.28174419288838,107.1725,7.04,359.26,122.32701129833,6.27916666666667,2.25,11.25,2.60260868547251,448.451666666667,664
