Day,Month,Hour,Temperature_mean,Temperature_min,Temperature_max,Temperature_std,Pressure_mean,Pressure_min,Pressure_max,Pressure_std,Humidity_mean,Humidity_min,Humidity_max,Humidity_std,WindDirection_mean,WindDirection_min,WindDirection_max,WindDirection_std,Speed_mean,Speed_min,Speed_max,Speed_std,Radiation_mean,SunDurationMinutes_mean,TimeSunRise_first,TimeSunSet_first
5,10,7,51.666666666666664,50,54,1.4974726182552573,30.448333333333334,30.44,30.46,0.007177405625649949,99.16666666666667,97,101,1.267304464625845,143.66666666666666,72.31,179.25,27.000218293169187,7.496666666666666,3.37,10.12,2.1100423663705867,174.98666666666668,714.0,6.233333333333333,18.133333333333333
17,11,9,57.916666666666664,57,59,0.5149286505444377,30.464166666666667,30.46,30.47,0.00514928650544275,23.75,22,25,0.9653072991634227,65.99249999999999,0.11,211.0,56.03651425227532,6.84,3.37,9.0,1.6943059721528244,594.2141666666666,671.0,6.533333333333333,17.716666666666665
22,11,15,48.166666666666664,48,49,0.38924947208076155,30.388333333333335,30.38,30.39,0.003892494720808619,97.83333333333333,95,100,1.5859229221975184,87.27666666666666,43.16,193.99,46.83018904574917,6.373333333333334,2.25,14.62,3.368504748760827,403.31333333333333,667.0,6.583333333333333,17.7
15,10,17,64.5,63,66,0.999999999999999,30.48,30.48,30.48,0.0,16.25,13,24,4.07040315179981,68.03083333333333,15.12,129.29,33.34255251676652,3.466666666666667,1.12,6.75,1.7605181744089557,78.0925,702.0,6.283333333333333,17.983333333333334
3,10,12,54.333333333333336,54,55,0.49236596391733034,30.445833333333336,30.44,30.45,0.005149286505443385,101.0,101,101,0.0,107.57416666666667,0.1,359.93,115.61045292928816,5.06,2.25,9.0,2.005972899300305,379.7483333333333,715.0,6.233333333333333,18.15
13,9,18,55.833333333333336,55,56,0.3892494720807609,30.415000000000003,30.4,30.42,0.006741998624633912,98.0,97,99,0.7385489458759914,319.6641666666667,13.22,358.52,96.84677142582535,4.029166666666667,0.0,6.75,1.885212591500363,3.888333333333333,737.0,6.166666666666667,18.45
19,11,17,49.333333333333336,48,50,0.778498944161521,30.4225,30.42,30.43,0.004522670168665973,87.83333333333333,85,92,2.443296332763789,97.3525,41.23,177.22,44.989894850247914,7.498333333333334,3.37,13.5,3.3013436199477475,24.104166666666668,668.0,6.566666666666666,17.7
20,10,7,46.333333333333336,44,50,2.1881222058831167,30.46166666666667,30.46,30.47,0.003892494720805511,78.5,69,86,5.282905536642774,136.76916666666668,84.5,165.61,26.58633020534949,5.06,3.37,9.0,1.6276921754993532,176.72416666666666,697.0,6.316666666666666,17.933333333333334
29,10,11,51.333333333333336,51,52,0.4923659639173302,30.424166666666668,30.42,30.43,0.005149286505443146,101.83333333333333,101,102,0.38924947208076405,81.15166666666667,0.77,336.56,86.10876281385845,6.3725,2.25,12.37,2.9689885789302357,531.2183333333334,687.0,6.383333333333334,17.833333333333332
30,10,17,48.0,48,48,0.0,30.448333333333334,30.44,30.45,0.0038924947208071044,102.0,102,102,0.0,119.04333333333334,0.11,151.83,40.60280360524456,4.4975,1.12,9.0,2.7553060381083556,16.18,686.0,6.383333333333334,17.816666666666666
